Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-10-08 00:00:00-04:00,92.0890888343815,92.71348719255914,92.0403046887613,92.6744613647461,33709600,0.0,0.0,0.0
2024-10-09 00:00:00-04:00,92.36226712692655,92.59642210633186,91.93299788484877,92.14762878417969,35807700,0.0,0.0,0.0
2024-10-10 00:00:00-04:00,91.59153007770358,91.79641011631125,91.13299329229585,91.78665924072266,53667400,0.0,0.0,0.0
2024-10-11 00:00:00-04:00,91.20127791979868,91.77689214799003,91.14273545478129,91.41590881347656,27406400,0.0,0.0,0.0
2024-10-14 00:00:00-04:00,90.77201377685519,91.49397310213419,90.7134787471727,91.48421478271484,28795300,0.0,0.0,0.0
2024-10-15 00:00:00-04:00,92.15737769966331,92.6842151844479,92.06957517390683,92.5964126586914,46429100,0.0,0.0,0.0
2024-10-16 00:00:00-04:00,93.06471547673405,93.28911213370732,92.82080962687503,92.98666381835938,32281500,0.0,0.0,0.0
2024-10-17 00:00:00-04:00,91.99153453892006,92.13787954278895,91.38664532985618,91.51348114013672,43427200,0.0,0.0,0.0
2024-10-18 00:00:00-04:00,91.75738436149794,91.98177357668692,91.5720135323642,91.58177185058594,25258600,0.0,0.0,0.0
2024-10-21 00:00:00-04:00,90.75248643290784,90.82077977395384,89.98175048828125,89.98175048828125,49504700,0.0,0.0,0.0
2024-10-22 00:00:00-04:00,90.39151471694768,90.49883389261643,89.8451605198841,90.0695571899414,32096900,0.0,0.0,0.0
2024-10-23 00:00:00-04:00,89.60125640174206,90.11834309613833,89.42565132186188,89.82565307617188,33354200,0.0,0.0,0.0
2024-10-24 00:00:00-04:00,89.98175723874894,90.73298404661226,89.71833472965523,90.40127563476562,32507400,0.0,0.0,0.0
2024-10-25 00:00:00-04:00,90.72322222766198,90.77200637736517,89.77686629338316,89.8939437866211,28667100,0.0,0.0,0.0
2024-10-28 00:00:00-04:00,90.02077391020899,90.04029054783726,89.1914954529996,89.65003967285156,33156500,0.0,0.0,0.0
2024-10-29 00:00:00-04:00,88.9475843669626,89.8158886050586,88.7622209808695,89.78662109375,46545200,0.0,0.0,0.0
2024-10-30 00:00:00-04:00,90.57689429726081,91.01592939710656,89.91347737409563,90.05006408691406,41951100,0.0,0.0,0.0
2024-10-31 00:00:00-04:00,89.95248237328765,90.67444911171764,89.63053228011373,90.1963882446289,52173800,0.0,0.0,0.0
2024-11-01 00:00:00-04:00,90.31484132126411,90.56935424220048,88.88562408096277,88.92477416992188,80402000,0.311,0.0,0.0
2024-11-04 00:00:00-05:00,90.33441238123721,90.61829905918178,89.69811516988146,90.30504608154297,49747600,0.0,0.0,0.0
2024-11-05 00:00:00-05:00,90.08968392920292,90.94134396937176,89.66874953719397,90.78471374511719,46986000,0.0,0.0,0.0
2024-11-06 00:00:00-05:00,87.7500727106816,88.80730430202475,87.66197381233968,88.29826354980469,98895700,0.0,0.0,0.0
2024-11-07 00:00:00-05:00,88.83666849583896,89.68832850232465,88.7387783438215,89.4044418334961,56221400,0.0,0.0,0.0
2024-11-08 00:00:00-05:00,90.06031107044227,90.64765943154158,89.90368085759465,90.53997802734375,56756200,0.0,0.0,0.0
2024-11-11 00:00:00-05:00,90.30504360666443,90.35399241717343,89.68832892436644,90.09947204589844,22369200,0.0,0.0,0.0
2024-11-12 00:00:00-05:00,89.44359543150962,89.91347112782465,88.60172671802735,88.74856567382812,57908400,0.0,0.0,0.0
2024-11-13 00:00:00-05:00,89.5904379290195,89.61002044208729,87.82839264848162,87.90670776367188,49009100,0.0,0.0,0.0
2024-11-14 00:00:00-05:00,88.65067119387146,89.1107631196725,88.3667845275572,88.41573333740234,53328300,0.0,0.0,0.0
2024-11-15 00:00:00-05:00,88.0241711644302,88.73878350595406,87.62281927724908,88.18080139160156,73722400,0.0,0.0,0.0
2024-11-18 00:00:00-05:00,87.76965932283576,88.68004452239101,87.53471397920178,88.3374252319336,36058700,0.0,0.0,0.0
2024-11-19 00:00:00-05:00,88.9052000296504,89.14992916510623,88.70941970870194,88.78772735595703,29585100,0.0,0.0,0.0
2024-11-20 00:00:00-05:00,88.24931722371124,88.91498069157544,88.21015967047929,88.50383758544922,27755400,0.0,0.0,0.0
2024-11-21 00:00:00-05:00,88.54299177301223,88.93455985493661,88.1024823486848,88.43531036376953,28365700,0.0,0.0,0.0
2024-11-22 00:00:00-05:00,88.60173322605924,88.78772227976471,88.24932269366771,88.48426055908203,21547500,0.0,0.0,0.0
2024-11-25 00:00:00-05:00,90.25609324250489,90.82386657306023,90.05052168527757,90.7749252319336,56858000,0.0,0.0,0.0
2024-11-26 00:00:00-05:00,90.21693669723825,90.49103208724871,89.87430999118597,90.4225082397461,31122200,0.0,0.0,0.0
2024-11-27 00:00:00-05:00,91.07839278952783,91.41122081730823,90.71619099293714,91.04902648925781,39442200,0.0,0.0,0.0
2024-11-29 00:00:00-05:00,91.80278065095578,92.00835220288249,91.46995265313338,91.98877716064453,31905700,0.0,0.0,0.0
